medal_date,medal_type,medal_code,name,gender,country,country_code,nationality,team,team_gender,discipline,event,event_type,url_event,birth_date,code
2024-07-27,Bronze Medal,3,BOUKLI Shirine,Female,France,FRA,France,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1999-01-24,1891280
2024-07-27,Bronze Medal,3,BABULFATH Tara,Female,Sweden,SWE,Sweden,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000200--,2006-01-03,1571911
2024-07-27,Gold Medal,1,MAERTENS Lukas,Male,Germany,GER,Germany,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2001-12-27,1907192
2024-07-27,Silver Medal,2,WINNINGTON Elijah,Male,Australia,AUS,Australia,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2000-05-05,1946172
2024-07-27,Bronze Medal,3,KIM Woomin,Male,Korea,KOR,Korea,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2001-08-24,4654306
2024-07-27,Gold Medal,1,TITMUS Ariarne,Female,Australia,AUS,Australia,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,2000-09-07,1946150
2024-07-27,Silver Medal,2,McINTOSH Summer,Female,Canada,CAN,Canada,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,2006-08-18,1967140
2024-07-27,Bronze Medal,3,LEDECKY Katie,Female,United States,USA,United States,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1997-03-17,1935938
2024-07-28,Gold Medal,1,FOX Jessica,Female,Australia,AUS,Australia,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1994-06-11,1940205
2024-07-28,Silver Medal,2,ZWOLINSKA Klaudia,Female,Poland,POL,Poland,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1998-12-18,1942126
2024-07-28,Bronze Medal,3,WOODS Kimberley,Female,Great Britain,GBR,Great Britain,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1995-09-08,1896045
2024-07-28,Gold Medal,1,FERRAND PREVOT Pauline,Female,France,FRA,France,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1992-02-10,1895672
2024-07-28,Silver Medal,2,BATTEN Haley,Female,United States,USA,United States,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1998-09-19,1955070
2024-07-28,Bronze Medal,3,RISSVEDS Jenny,Female,Sweden,SWE,Sweden,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1994-06-06,1564023
2024-07-28,Gold Medal,1,KANO Koki,Male,Japan,JPN,Japan,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1997-12-19,1896548
2024-07-28,Silver Medal,2,BOREL Yannick,Male,France,FRA,France,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1988-11-05,1916194
2024-07-28,Bronze Medal,3,ELSAYED Mohamed,Male,Egypt,EGY,Egypt,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--,2003-03-03,1936462
2024-07-28,Gold Medal,1,KIEFER Lee,Female,United States,USA,United States,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1994-06-15,1950611
2024-07-28,Silver Medal,2,SCRUGGS Lauren,Female,United States,USA,United States,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,2003-01-27,1950643
2024-07-28,Bronze Medal,3,HARVEY Eleanor,Female,Canada,CAN,Canada,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--,1995-01-14,1973213
2024-07-28,Gold Medal,1,ABE Hifumi,Male,Japan,JPN,Japan,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1997-08-09,1896763
2024-07-28,Silver Medal,2,LIMA Willian,Male,Brazil,BRA,Brazil,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,2000-01-31,1953840
2024-07-28,Bronze Medal,3,KYRGYZBAYEV Gusman,Male,Kazakhstan,KAZ,Kazakhstan,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000100--,1992-09-28,1935410
2024-07-28,Bronze Medal,3,VIERU Denis,Male,Republic of Moldova,MDA,Republic of Moldova,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000200--,1996-03-10,1561138
2024-07-28,Gold Medal,1,KELDIYOROVA Diyora,Female,Uzbekistan,UZB,Uzbekistan,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1998-07-13,1566997
2024-07-28,Silver Medal,2,KRASNIQI Distria,Female,Kosovo,KOS,Kosovo,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1995-12-10,1550162
2024-07-28,Bronze Medal,3,PIMENTA Larissa,Female,Brazil,BRA,Brazil,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1999-03-01,1953817
2024-07-28,Bronze Medal,3,BUCHARD Amandine,Female,France,FRA,France,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1995-07-12,1891283
2024-07-28,Gold Medal,1,XIE Yu,Male,China,CHN,China,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,2000-06-12,1913907
2024-07-28,Silver Medal,2,MALDINI Federico Nilo,Male,Italy,ITA,Italy,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,2001-03-28,1551388
2024-07-28,Bronze Medal,3,MONNA Paolo,Male,Italy,ITA,Italy,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1998-04-19,1551387
2024-07-28,Gold Medal,1,OH Ye Jin,Female,Korea,KOR,Korea,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,2005-05-10,1893972
2024-07-28,Silver Medal,2,KIM Yeji,Female,Korea,KOR,Korea,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1992-09-04,1893930
2024-07-28,Bronze Medal,3,BHAKER Manu,Female,India,IND,India,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,2002-02-18,1538159
2024-07-28,Gold Medal,1,YOSHIZAWA Coco,Female,Japan,JPN,Japan,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2009-09-22,1902055
2024-07-28,Silver Medal,2,AKAMA Liz,Female,Japan,JPN,Japan,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2009-01-08,1902069
2024-07-28,Bronze Medal,3,LEAL Rayssa,Female,Brazil,BRA,Brazil,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2008-01-04,1955689
2024-07-28,Gold Medal,1,MARTINENGHI Nicolo,Male,Italy,ITA,Italy,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1999-08-01,1925633
2024-07-28,Silver Medal,2,PEATY Adam,Male,Great Britain,GBR,Great Britain,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1994-12-28,1956469
2024-07-28,Silver Medal,2,FINK Nic,Male,United States,USA,United States,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1993-07-03,1935901
2024-07-28,Gold Medal,1,MARCHAND Leon,Male,France,FRA,France,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2002-05-17,1909294
2024-07-28,Silver Medal,2,MATSUSHITA Tomoyuki,Male,Japan,JPN,Japan,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2005-08-01,1963635
2024-07-28,Bronze Medal,3,FOSTER Carson,Male,United States,USA,United States,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2001-10-26,1935903
2024-07-28,Gold Medal,1,HUSKE Torri,Female,United States,USA,United States,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,2002-12-07,1935923
2024-07-28,Silver Medal,2,WALSH Gretchen,Female,United States,USA,United States,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,2003-01-29,1935998
2024-07-28,Bronze Medal,3,ZHANG Yufei,Female,China,CHN,China,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1998-04-19,1945125
2024-07-27,Gold Medal,1,CHANG Yani,Female,China,CHN,China,People's Republic of China,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,2001-12-07,1901539
2024-07-27,Gold Medal,1,CHEN Yiwen,Female,China,CHN,China,People's Republic of China,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,1999-06-15,1901538
2024-07-27,Silver Medal,2,BACON Sarah,Female,United States,USA,United States,United States of America,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,1996-09-20,1954159
2024-07-27,Silver Medal,2,COOK Kassidy,Female,United States,USA,United States,United States of America,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,1995-05-09,1954168
2024-07-27,Bronze Medal,3,HARPER Yasmin,Female,Great Britain,GBR,Great Britain,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,2000-07-28,1900841
2024-07-27,Bronze Medal,3,MEW JENSEN Scarlett,Female,Great Britain,GBR,Great Britain,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,2001-12-31,1973355
2024-07-27,Gold Medal,1,PASQUET Varian,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1999-07-29,1879682
2024-07-27,Gold Medal,1,TIMO Andy,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2004-05-28,1879687
2024-07-27,Gold Medal,1,REBBADJ Rayan,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1999-08-15,1879683
2024-07-27,Gold Medal,1,FORNER Theo,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2001-10-17,1879671
2024-07-27,Gold Medal,1,PAREZ EDO MARTIN Stephen,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1994-08-01,1879681
2024-07-27,Gold Medal,1,RIVA Paulin,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1994-04-20,1879684
2024-07-27,Gold Medal,1,JOSEPH Jefferson-Lee,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2002-08-29,1879675
2024-07-27,Gold Medal,1,ZEGHDAR Antoine,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1999-05-22,1879692
2024-07-27,Gold Medal,1,GRANDIDIER NKANANG Aaron,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2000-05-18,1879672
2024-07-27,Gold Medal,1,BARRAQUE Jean Pascal,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1991-04-24,1879661
2024-07-27,Gold Medal,1,DUPONT Antoine,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1996-11-15,1879669
2024-07-27,Gold Medal,1,SEPHO Jordan,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1998-12-08,1879685
2024-07-27,Gold Medal,1,EPEE Nelson,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2001-02-20,1879670
2024-07-27,Silver Medal,2,NASOVA Joji,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2000-06-09,1908897
2024-07-27,Silver Medal,2,TALACOLO Joseva,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1997-04-01,1908838
2024-07-27,Silver Medal,2,MATANA Jeremaia,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1998-07-14,1913346
2024-07-27,Silver Medal,2,MOCENACAGI Sevuloni,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1990-06-29,1977633
2024-07-27,Silver Medal,2,BALEIWAIRIKI Iosefo,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1998-05-09,1913523
2024-07-27,Silver Medal,2,LOGANIMASI Ponipate,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1998-03-26,1982069
2024-07-27,Silver Medal,2,VEILAWA Terio Tamani,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1994-07-06,1913286
2024-07-27,Silver Medal,2,NACUQU Waisea,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1993-05-24,1913334
2024-07-27,Silver Medal,2,TUWAI Jerry,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1989-03-23,1908911
2024-07-27,Silver Medal,2,TEBA Iowane,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1993-02-23,1908835
2024-07-27,Silver Medal,2,RASAKU Kaminieli,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1999-07-12,1908841
2024-07-27,Silver Medal,2,RAVUTAUMADA Selesitino,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,2000-01-17,2484588
2024-07-27,Silver Medal,2,JOSAIA Raisuqe,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1994-07-22,1982687
2024-07-27,Silver Medal,2,SAUTURAGA Filipe,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000100--,1994-06-19,1908901
2024-07-27,Bronze Medal,3,GROBBELAAR Christie,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,2000-05-25,1574106
2024-07-27,Bronze Medal,3,OOSTHUIZEN Ryan,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1995-05-22,1574107
2024-07-27,Bronze Medal,3,VISSER Impi,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1995-05-30,1574108
2024-07-27,Bronze Medal,3,DAVIDS Zain,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1997-05-04,1574109
2024-07-27,Bronze Medal,3,NORTJE Quewin,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,2003-01-14,1888936
2024-07-27,Bronze Medal,3,PRETORIUS Tiaan,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,2001-02-19,1574111
2024-07-27,Bronze Medal,3,LEYDS Tristan,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1997-05-24,1574134
2024-07-27,Bronze Medal,3,DAVIDS Selvyn,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1994-03-26,1888932
2024-07-27,Bronze Medal,3,WILLIAMS Shaun,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1998-04-13,1574114
2024-07-27,Bronze Medal,3,SPECMAN Rosko,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1989-04-28,1574121
2024-07-27,Bronze Medal,3,SOYIZWAPI Siviwe,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1992-12-07,1574118
2024-07-27,Bronze Medal,3,van WYK Shilton,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1999-12-22,1574119
2024-07-27,Bronze Medal,3,BROWN Ronald,Male,South Africa,RSA,South Africa,South Africa,M,Rugby Sevens,Men,HTEAM,/en/paris-2024/results/rugby-sevens/men/fnl-000200--,1995-09-02,1574112
2024-07-27,Gold Medal,1,HUANG Yuting,Female,China,CHN,China,People's Republic of China 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,2006-09-03,1913945
2024-07-27,Gold Medal,1,SHENG Lihao,Male,China,CHN,China,People's Republic of China 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,2004-12-04,1913899
2024-07-27,Silver Medal,2,KEUM Jihyeon,Female,Korea,KOR,Korea,Republic of Korea 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,2000-03-17,1893896
2024-07-27,Silver Medal,2,PARK Hajun,Male,Korea,KOR,Korea,Republic of Korea 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--,2000-04-19,1893976
2024-07-27,Bronze Medal,3,LE Alexandra,Female,Kazakhstan,KAZ,Kazakhstan,Kazakhstan 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000200--,2004-05-03,1930466
2024-07-27,Bronze Medal,3,SATPAYEV Islam,Male,Kazakhstan,KAZ,Kazakhstan,Kazakhstan 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000200--,1998-09-21,1930467
2024-07-27,Gold Medal,1,HELD Ryan,Male,United States,USA,United States,United States of America,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1995-06-27,1935916
2024-07-27,Gold Medal,1,KING Matt,Male,United States,USA,United States,United States of America,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,2002-02-19,1935933
2024-07-27,Gold Medal,1,ARMSTRONG Hunter,Male,United States,USA,United States,United States of America,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,2001-01-24,1935871
2024-07-27,Gold Medal,1,DRESSEL Caeleb,Male,United States,USA,United States,United States of America,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1996-08-16,1935896
2024-07-27,Gold Medal,1,ALEXY Jack,Male,United States,USA,United States,United States of America,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,2003-01-19,1935869
2024-07-27,Gold Medal,1,GUILIANO Chris,Male,United States,USA,United States,United States of America,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,2003-06-25,1935911
2024-07-27,Silver Medal,2,CARTWRIGHT Jack,Male,Australia,AUS,Australia,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1998-09-22,1946186
2024-07-27,Silver Medal,2,YANG William,Male,Australia,AUS,Australia,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--,1998-10-11,1946235
